Adam's Greenhouses & Produce,14757 Line Road,Delmar,DE,19940,(302)-846-0652,www.sunnysidenurseryandadamsgreenhouses.com,Farm
Adams Fruit Market,2239 Seashore Highway,Greenwood,DE,19950,(302) 349-4924,www.adamsfruitmarket.com,Farmers Market
Adkins Produce,32008 Long Neck Road,Millsboro,DE,19966,(302) 945-9700,,Farm
Anderson's Produce Market,10967 Beach Highway,Greenwood,DE,19950,(302) 349-4640,www.sites.google.com/site/andersonsproducemarket/,Farmers Market
Baronage Farm,311 Black Stallion Road,Townsend,DE,19734,(302) 598-6662,www.baronagefarm.com,Farm
Bennett Orchards,31442 Peach Tree Land,Frankford,DE,19945,(302) 732-3358,www.bennettorchards.com,Farm
Birdsong Gardens,34382 Daisey Road,Frankford,DE,19945,(302) 537-9680,www.birdsongardens.com,Farm
Bobola Farm & Florist,5268 Forrest Avenue,Dover,DE,19904,(302) 492-3367,www.bobolaflorist.com,Farm
Brick House Farm,12890 County Seat Highway,Laurel,DE,19956,(302) 396-8236,,Farm
Bright Spot Mobile Urban Farm Market,100 South West Street,Wilmington,DE,19801,(302) 658-4171,,Farmers Market
Bright Spot Mobile Urban Farm Market,1901 North Market Street,Wilmington,DE,19801,(302) 658-4171,,Farmers Market
Bright Spot Mobile Urban Farm Market,504 South Clayton Street,Wilmington,DE,19805,(302) 658-4171,,Farmers Market
Bright Spot Mobile Urban Farm Market,2200 West 4th Street,Wilmington,DE,19805,(302) 658-4171,,Farmers Market
Bright Spot Mobile Urban Farm Market,131 North Market Street,Wilmington,DE,19801,(302) 658-4171,,Farmers Market
Bright Spot Mobile Urban Farm Market,2nd & French Streets,Wilmington,DE,19801,(302) 658-4171,,Farmers Market
Brittingham's Produce,16001 Harbeson Road,Milton,DE,19968,(302) 684-4232,,Farm
"Circle C Outfit, LLC",9801 Orchards End,Bridgeville,DE,19933,(302) 337-8828,www.circlecoutfit.com,Farm
Coleman's Christmas Tree Farm,550 Silver Run Road,Middletown,DE,19709,(302) 378-8949,www.colemanstreefarm.com,Tree Farm
Colemans Christmas Tree Farm,550 Silver Run Road,Middletown,DE,19709,(302) 378-8949,www.colemanstreefarm.com,Farm
Cool as a Cucumber Farm Stand,38011 Muddy Neck Road,Ocean View,DE,19970,(302) 236-2466,,Farm Stand
Country Living Produce,28086 Cross Keys Road,Millsboro,DE,19966,(302) 934-9045,,Farm
Coverdale Farm,543 Way Road,Greenville,DE,19807,(302) 239-2334,www.delawarenaturesociety.org,Farm
Cowgills Corner Sheep and Wool Farm Bed and Breakfast,7299 Bayside Drive,Dover,DE,19901,(302) 734-5743,,Farm
Dawn's Country Market,30511 Cave Neck Road,Milton,DE,19968,(302) 644-4760,www.dawnscountrymarket.com,Farm
Deep Grass Nursery,13847 Staytonville Road,Greenwood,DE,19950,(302) 398-4413,www.deepgrassnursery.com,Farm
Del-Ridge Farms,11623 Sussex Highway,Greenwood,DE,19950,(302) 542-5172,,Farm
Delaware Agricultural Museum,866 North DuPont Highway,Dover,DE,19901,(302) 734-1618,www.agriculturalmuseum.org,Farm
Dickerson Farms,32370 Gordy Road,Laurel,DE,19956,(302) 857-0826,,Farm
Don's Tree Farm,6396 Hickman Road,Greenwood,DE,19950,(302) 349-0555,www.donstreefarm.com,Farm
East View Farm,36144 Bayard Road,Frankford,DE,19945,(302) 436-4605,,Farm
Edwards Farm,1416 Bethel Church Road,Middletown,DE,19709,(302) 376-1557,,Farm
Elmer's Market,13257 Seashore Highway,Georgetown,DE,19947,(302) 337-8388,,Farmers Market
Ernest Fruit Farm,15092 S. Union Church Road,Ellendale,DE,19941,(302) 349-5986,,Farm
